DeviceSerial;Name1;Name2;DevicePositionID;StatusID;ExternalRef
8109381;U SAVE PLETTENBERG BAY;ABGEO11403;2;4;11403
8109380;ALBERT STRAAT MOTORS - ENGEN;ABGEO12256D;1;4;12256D
8109384;DAGBREEK SPAR;ABPE12776D;1;4;12776D
8103364;ENGEN OLIVIER;ABKBY11766;2;4;11766
8106895;CURIE PARK QUICK STOP;ABBFN11048;2;4;11048
8102855;CURIE PARK QUICK STOP;ABBFN11048D;1;5;11048D
8100643;BOXER DUNDEE;ABNCS11938;2;4;11938
8103362;BOXER NQUTU;ABNCS9690;2;4;9690
8103637;BOXER NQUTU;ABNCS9690D;1;4;9690D
8109447;MIDWAY SERVICE CENTRE (VOLKSRUST) ENGEN;ABNCS12917;2;4;12917
8106977;MIDWAY SERVICE CENTRE (VOLKSRUST) ENGEN;ABNCS12917D;1;4;12917D
8108447;LADYSMITH;NCS11073;2;4;11073
8101184;LADYSMITH;NCS11073D;1;4;11073D
8109379;BONUS SPAR DAGBREEK;ABWKM12981;2;4;12981
8109406;BONUS SPAR DAGBREEK;ABWKM12981D;1;4;12981D
8103636;EZIBELENI SAVERITE DANS;ESLH585;2;4;H585
8109366;EZIBELENI SAVERITE DANS;ESLH585D;1;4;H585D
8108695;BOXER UMZIMKULU;ABPSH90253;2;4;90253
8108780;JULKEN SERVICE STATION;ABPOL11326;2;4;11326
8109057;ENGEN VIVO VULSTASIE;ABPOL11335;2;4;11335
8109052;NEW LIFE STYLE CENTRE;ABPOL11369D;1;4;11369D
8109042;BOXER POLOKWANE;ABPOL12043D;1;4;12043D
8109054;ABBIES MOTORS;ABPOL13765D;1;4;13765D
8109049;TRITEX MOTORLAND;ABPOL13780;2;4;13780
8109201;ENGEN MKUZE;ABRCB11162;2;4;11162
8109259;ENGEN MKUZE;ABRCB11162D;1;4;11162D
8109260;BOXER EMPANGENI RAIL;ABRCB12122;2;4;12122
8109104;BOXER EMPANGENI MARKET;ABRCB12172;2;4;12172
8109238;BOXER EMPANGENI MARKET;ABRCB12172D;1;4;12172D
8111416;BOXER MATUBATUBA NORTH;ABRCB12239;2;4;12239
8108963;BOXER MATUBATUBA NORTH;ABRCB12239D;1;4;12239D
8109240;HLUHLUWE SPAR;ABRCB12266;2;4;12266
8109199;HLUHLUWE SPAR;ABRCB12266D;1;4;12266D
8109261;GINGS SPAR;ABRCB12907;2;4;12907
8109258;GINGS SPAR;ABRCB12907D;1;4;12907D
8106925;BOXER EMPANGENI TOWN;RCBBC53;2;4;BC53
8109180;LUSIKISIKI SPAR;ABPSH11303;2;4;11303
8108845;LUSIKISIKI SPAR;ABPSH11303D;1;5;11303D
8108834;LUSIKISIKI SPAR 2;ABPSH11305;2;4;11305
7541080;QUEEN ROSE SPAR;ABMTH90236;2;4;90236
8109138;QUEEN ROSE SPAR;ABMTH90236D;1;4;90236D
8109202;SONDELA POWERSAVE;ABESL8191D;1;4;8191D
8109218;LUSIKISIKI PLAZA;ABMTH11357;2;4;11357
8108409;LUSIKISIKI PLAZA;ABMTH11357D;1;4;11357D
8109135;SHOPRITE LUSIKISIKI;ABPSH11916;2;5;11916
8108815;SHOPRITE MOUNT FRERE;ABPSH11918;2;4;11918
8108600;SHOPRITE FLAGSTAFF;ABPSH11936D;1;5;11936D
8111106;BOXER FLAGSTAFF;MTH12275;2;4;12275
8110448;BOXER MTHATHA 2;ABMTH12868D;1;4;12868D
8108935;UGIE SPAR;ABMTH90389;2;4;90389
8108934;UGIE SPAR;ABMTH90389D;1;4;90389D
8104542;BOXER HAZYVIEW;ABNEL12033;2;4;12033
8105439;BOXER HAZYVIEW;ABNEL12033D;1;4;12033D
8109009;MIDWAY LIQUOR;ABNEL12710D;1;4;12710D
8097247;NKOMAZI FILLING;ABNEL12764D;1;5;12764D
8097964;BUSH CENTRE;ABNEL90336D;1;4;90336D
8098381;U SAVE NELSPRUIT;ABNEL90539;2;5;90539
8095251;ZEPHS SUPERMARKER 1;ABWIT11981D;1;4;11981D
8097236;P&P WITBANK 1;ABWIT12278;2;4;12278
8101935;P&P WITBANK 1;ABWIT12278D;1;4;12278D
8102225;TOTAL STADIUM;ABWIT12438D;1;4;12438D
8098632;ZEPHS SUPERMARKET 2;ABWIT90275;2;4;90275
8099113;ZEPHS SUPERMARKET 2;ABWIT90275D;1;4;90275D
8100487;ALZU PETROPORT N4;ABWIT90359D;1;4;90359D
8108946;BOPHELONG SUPERMARKET 1;ABVER11353D;1;4;11353D
8108947;INSIG MOTORS;ABVER11387D;1;4;11387D
8108944;MONATE FELA 2;ABVER12693;2;4;12693
8109006;MONATE FELA 2;ABVER12693D;1;4;12693D
8108987;MAXI MOTORS;ABVER12977D;1;4;12977D
8109110;SIGNATURE MOTORS-ENGEN;ABVER13960;2;4;13960
8109106;SIGNATURE MOTORS-ENGEN;ABVER13960D;1;4;13960D
8109382;BOPHELONG SUPERMARKET 2;ABVER90262D;1;4;90262D
8109029;PELHAM SUPERETTE;ABPMB11224D;1;4;11224D
8109050;BABAS SPICE & SUPERETTE;ABPMB11985;2;4;11985
8108783;BABAS SPICE & SUPERETTE;ABPMB11985D;1;4;11985D
8109032;NEW BOMBAY ROAD;ABPMB11995;2;4;11995
8109033;NEW BOMBAY ROAD;ABPMB11995D;1;4;11995D
8109034;KHONZINKOSI SPAR - (TUGELLA FERRY);ABPMB12044;2;4;12044
8109035;KHONZINKOSI SPAR - (TUGELLA FERRY);ABPMB12044D;1;4;12044D
8109038;SPAR TUGELA FERRY MALL;ABPMB12807;2;4;12807
8109039;SPAR TUGELA FERRY MALL;ABPMB12807D;1;4;12807D
8098473;S & S MOTORS-GOUDKOP;ABKLD11395;2;4;11395
8102264;S & S MOTORS-GOUDKOP;ABKLD11395D;1;4;11395D
8109030;BOXER IXOPO;ABPSH90266;2;4;90266
8102044;VAAL TOTAL;ABKLD11736;2;4;11736
8100438;VAAL TOTAL;ABKLD11736D;1;4;11736D
8102037;REFILOE BOTTLESTORE 1;ABKLD12957D;1;4;12957D
8099262;TOP MEAT & CHICKEN;ABKLD13772;2;4;13772
8100086;TOP MEAT & CHICKEN;ABKLD13772D;1;4;13772D
8108459;BOXER LADY FRERE;ESLL203;2;4;L203
8097411;BOXER LADY FRERE;ESLL203D;1;4;L203D
8109198;CRITERION SUPERMARKET;ABESL11334D;1;4;11334D
8108777;SAVEWAY ALICE;ABESL11724D;1;4;11724D
8108785;AMALINDA SUPERMARKET;ABESL11911;2;4;11911
8108781;AMALINDA SUPERMARKET;ABESL11911D;1;4;11911D
8108782;BP OXFORD;ABESL12049D;1;4;12049D
8108776;CREMIA SUPERMARKET;ABESL12540D;1;4;12540D
8108766;BINGS FRIENDLY;ABESL12906;2;4;12906
8108786;BINGS FRIENDLY;ABESL12906D;1;4;12906D
8108772;LIGHTHOUSE SPAR;ABESL13794;2;4;13794
8110439;LIGHTHOUSE SPAR;ABESL13794D;1;4;13794D
8109182;PLANET VIDEO;ABESL90235D;1;4;90235D
8095257;CENTRAL CAFE & TAKE AWAYS;ABCPT11356D;1;4;11356D
8102317;GRABOUW SHOPPING CNT;ABCPT11795;2;4;11795
8102291;GRABOUW SHOPPING CNT;ABCPT11795D;1;5;11795D
8098341;GP TYRES;ABCPT11796D;1;4;11796D
8091131;STELLENBOSCH SPAR;ABCPT12008;2;4;12008
8093254;ORANJE CONVENIENCE CENTRE;ABCPT12138;2;4;12138
8110596;ORANJE CONVENIENCE CENTRE;ABCPT12138D;1;4;12138D
8095105;ORANJE CONVENIENCE CENTRE;ABCPT12139;2;4;12139
8110117;CALTEX KOELENHOF;ABCPT13633D;1;4;13633D
8102499;P&P BOSTON 1;ABCPT12274D;1;4;12274D
8095249;P&P BASILS BOSTON 2;ABCPT12302D;1;4;12302D
8090725;ELITE CASH & CARRY;ABCPT12322D;1;4;12322D
8090710;CHECKOUT KHAYELITSHA;ABCPT12382;2;4;12382
8090729;SONNENDAL SERVICE STATION;ABCPT12449;2;4;12449
8098363;SONNENDAL SERVICE STATION;ABCPT12449D;1;4;12449D
8095055;BRACKENFELL SPAR;ABCPT12636;2;4;12636
8093185;GLENWOOD KWIKSPAR;ABCPT12637;2;4;12637
8094271;GLENWOOD KWIKSPAR;ABCPT12637D;1;4;12637D
8100606;TYGER MANOR KWIKSPAR;ABCPT12690;2;4;12690
8091447;TYGER MANOR KWIKSPAR;ABCPT12690D;1;4;12690D
8099967;FRANSCHOEK PRICECLUB;ABCPT90363D;1;4;90363D
8102465;AMEERA'S CAFE;ABCPT9861D;1;4;9861D
8107061;OK GATERITE;ABDBN12304;2;4;12304
8102053;OK GATERITE;ABDBN12304D;1;4;12304D
8111176;CHECKOUT VERULAM;ABDBN12666;2;4;12666
8102731;CHECKOUT VERULAM;ABDBN12666D;1;4;12666D
8093972;GLOBES LIQUOR;ABDBN12722;2;4;12722
8097235;GLOBES LIQUOR;ABDBN12722D;1;4;12722D
8111151;CALTEX BLAIR ATHOLL;ABDBN11468D;1;4;11468D
8101109;BOXER HAMMERSDALE;ABPMB90272;2;4;90272
8100192;P&P PINERIDGE;ABDBN90370;2;4;90370
8099713;P&P PINERIDGE;ABDBN90370D;1;4;90370D
8111082;BOXER PUNCH SOLDIERS WAY;ABDBN90393D;1;4;90393D
8108779;CALZONE MOTORS;ABJHB11323D;1;4;11323D
8108672;SILVERFIELDS SERVICE STATION;ABJHB11352;2;4;11352
8108692;SILVERFIELDS SERVICE STATION;ABJHB11352D;1;4;11352D
8108675;HADZHI BOTTLE STORE;ABJHB11378;2;4;11378
8108676;TOTAL ROCK COTTAGE;ABJHB11710D;1;4;11710D
8108671;BP KLIPDRIVE;ABJHB11957;2;4;11957
8108711;SILVERSTAR SUPERMARKET;ABJHB11764D;1;4;11764D
8108701;MANA BUTCHERY;ABJHB11972;2;4;11972
8108768;MANA BUTCHERY;ABJHB11972D;1;4;11972D
8108674;ZANDSPRUIT HYPER;ABJHB11998D;1;4;11998D
8108702;HEKPOORT LIQUOR;ABJHB12259;2;4;12259
8108784;HEKPOORT LIQUOR;ABJHB12259D;1;4;12259D
8108773;ACE CAFE 1;ABJHB12338D;1;4;12338D
8108698;RANDFONTEIN SPAR;ABJHB12339;2;4;12339
8108700;RANDFONTEIN SPAR;ABJHB12339D;1;4;12339D
8108670;DIGS CAF ;ABJHB12357;2;4;12357
8108892;DELPHI MOTORS-2;ABJHB12418D;1;4;12418D
8108807;ENGEN ELLISPARK;ABJHB12732D;1;4;12732D
8108806;VUT SEBOKENG;ABVER8917;2;4;8917
8108799;RUIMSIG EXCEL;ABJHB12948D;1;4;12948D
8108808;CHINA MART SHOPPING CENTRE;ABJHB12958D;1;4;12958D
8108872;NU-KLARE SUPERMARKET;ABJHB13707D;1;4;13707D
8108826;ENGEN TRADE ROUTE SERVICE STATION;ABJHB13751D;1;4;13751D
8108611;NEW LOOK FRUIT SHOP;ABJHB13757D;1;4;13757D
8108795;HYPERSAVE SUPERMARKET ELDORADOPARK;ABJHB13989;2;5;13989
8108838;P&P TSELES;ABJHB8950;2;5;8950
8108869;P&P TSELES;ABJHB8950D;1;5;8950D
8108790;HYPER MEAT SUPER STORE;ABJHB90220;2;4;90220
8108652;HYPER MEAT SUPER STORE;ABJHB90220D;1;4;90220D
8108650;MOOSA MOHAMED SUPERMARKET;ABJHB90295;2;4;90295
8108651;PARKTOWN CONVENIENCE CNT;ABJHB90309;2;4;90309
8108599;GORDON ROAD SHOPPING CNT;ABJHB90313;2;5;90313
8108649;LERATONG HOSPITAL;ABJHB90324D;1;4;90324D
8108641;KWIKSPAR KRUGERSDORP;ABJHB90345;2;4;90345
8108642;KWIKSPAR KRUGERSDORP;ABJHB90345D;1;5;90345D
8108789;P&P WESTONARIA-2;ABJHB13779;2;4;13779
8108643;P&P WESTONARIA-2;ABJHB13779D;1;4;13779D
8108721;JOHNNY'S BOTTLE STORE;ABJHB91475;2;4;91475
8108727;JOHNNY'S BOTTLE STORE;ABJHB91475D;1;4;91475D
8108663;FLORAUNA FOODZONE;ABPTA11043D;1;4;11043D
8108666;WOLMARANS KAFEE;ABPTA11345D;1;4;11345D
8108684;KAMEELDRIFT MOTORS INTERFOCUS;ABPTA11735;2;4;11735
8108703;BRAZIL CAFE;ABPTA11754;2;4;11754
8108667;BRAZIL CAFE;ABPTA11754D;1;4;11754D
8108708;SILVERPARK MOTORS;ABPTA11910D;1;4;11910D
8108865;GOLD STAR SUPERMARKET;ABPTA11964;2;4;11964
8108832;GOLD STAR SUPERMARKET;ABPTA11964D;1;4;11964D
8108847;ENGEN ORCHARDS;ABPTA11967;2;4;11967
8108848;ENGEN ORCHARDS;ABPTA11967D;1;4;11967D
8108687;GARDEN VIEW MINI MARKET;ABPTA12042D;1;4;12042D
8108604;HERCULES SPAR 1;ABPTA12090D;1;4;12090D
8108606;HELENA SUPERMARKET-1;ABPTA12178D;1;4;12178D
8108655;ELARDUS PARK-TOTAL;ABPTA12179D;1;4;12179D
8108565;ZORBAS SUPERETTE;ABPTA12196D;1;4;12196D
8108607;ROSSLYN DISCOUNT LIQUOR STORE 1;ABPTA12244D;1;4;12244D
8108605;FOODS & GOODS SUPERMARKET;ABPTA12284D;1;4;12284D
8108568;CLAREMONT SUPERMARKET;ABPTA12429;2;4;12429
8108564;CLAREMONT SUPERMARKET;ABPTA12429D;1;4;12429D
8108587;PETRONELLA SENTRUM;ABPTA12652D;1;4;12652D
8108563;MONTANA TRADERS SQUARE;ABPTA12680D;1;4;12680D
8109428;GELUKSDAL BOTTLE STORE;ABKEM11044D;1;4;11044D
8109444;UNIT F BOTTLE STORE;ABJHB11240;2;4;11240
8109441;UNIT F BOTTLE STORE;ABJHB11240D;1;4;11240D
8109420;LEONDALE HYPER;ABKEM11242D;1;4;11242D
8109442;PHUTADITJABA SUPERMARKET;ABKEM11245D;1;4;11245D
8109405;BALFOUR SPAR 2;ABKEM11678;2;4;11678
8109270;BALFOUR SPAR 2;ABKEM11678D;1;4;11678D
8109446;KEMPSTAR MALL 1;ABKEM11741;2;4;11741
8109445;KEMPSTAR MALL 1;ABKEM11741D;1;4;11741D
8109409;MARLBORO MEAT & CHICKEN;ABKEM11775;2;4;11775
8109358;AUTO POWER SERVICE STATION;ABKEM11933;2;4;11933
8109391;AUTO POWER SERVICE STATION;ABKEM11933D;1;4;11933D
8109399;THOKOZA LIQUOR STORE;ABKEM11953;2;4;11953
8109385;THOKOZA LIQUOR STORE;ABKEM11953D;1;4;11953D
8109443;VILLAGE CAFE;ABKEM11961;2;4;11961
8109440;VILLAGE CAFE;ABKEM11961D;1;4;11961D
8109430;ZENEX SUMMERFIELD;ABKEM11966;2;4;11966
8109424;ZENEX SUMMERFIELD;ABKEM11966D;1;4;11966D
8107026;P&P CLEO'S 1(ELSPARK);ABKEM12425;2;4;12425
8106990;P&P CLEO'S 2(ELSPARK);ABKEM12431;2;4;12431
8109421;CLIFFY'S CASH & CARRY;ABJHB12440;2;4;12440
8109414;CLIFFY'S CASH & CARRY;ABJHB12440D;1;4;12440D
8109416;P&P ASTON MANOR;ABKEM12532;2;4;12532
8109425;CRYSTAL GATE SPAR;ABKEM12551;2;4;12551
8109437;CRYSTAL GATE SPAR;ABKEM12551D;1;4;12551D
8107082;ESTHER PARK SUPERMARKET;ABKEM12726D;1;4;12726D
8109184;ENGEN PRESIDENT DAM;ABKEM12737;2;4;12737
8109459;TOTAL ALBERTON;ABJHB12745;2;4;12745
8109462;BUCCLEUCH KWIKSPAR;ABKEM12847;2;4;12847
8109456;ALRODE SOUTH DISTRIBUTORS;ABJHB12998;2;4;12998
8109436;ALRODE SOUTH DISTRIBUTORS;ABJHB12998D;1;4;12998D
8109461;TSAKIS CAFE & BUTCHERY;ABKEM13731;2;4;13731
8104509;MAITES TAVERN;ABKEM13732;2;4;13732
8103615;MAITES TAVERN;ABKEM13732D;1;4;13732D
8109448;KILOS DISTRIBUTION;ABKEM13778;2;5;13778
8109432;KILOS DISTRIBUTION;ABKEM13778D;1;5;13778D
8104594;DOUGS SUPERMARKET 2;ABKEM13784D;1;5;13784D
8109434;WESTERN EXTENSION LIQUORS;ABKEM8113;2;4;8113
8109454;WESTERN EXTENSION LIQUORS;ABKEM8113D;1;4;8113D
8109426;REGGIES PUB 2;ABJHB90213;2;5;90213
8109458;REGGIES PUB 2;ABJHB90310;2;5;90310
8108130;REGGIES PUB 2;ABJHB90310D;1;4;90310D
8109435;CORNER FRESH MEAT & BUTCHERY;ABJHB90244;2;4;90244
8109368;POPCORN VALLEY 2;ABKEM90271;2;4;90271
8109457;U SAVE PALM RIDGE;ABJHB90278D;1;4;90278D
8109450;ENGEN KRITZINGER;ABJHB90331;2;4;90331
8109377;BUY RITE MINNEBRON;ABKEM9944D;1;4;9944D
8108841;MOTIMA SHOPPING CENTRE-2;ABPTA12940D;1;4;12940D
8108842;ROSSLYN DISCOUNT LIQUOR STORE -2;ABPTA90217;2;5;90217
8108894;SUNDERLAND CASH & CARRY;ABPTA90222;2;4;90222
8108893;FALALA SHOPPING CENTRE 1;ABPTA90290;2;5;90290
8108891;FALALA SHOPPING CENTRE 1;ABPTA90290D;1;4;90290D
8108875;MP WAREHOUSING 2;ABPTA90306D;1;4;90306D
8108853;ROSSLYN CORNER CENTRE;ABPTA90311D;1;4;90311D
8108769;SYDS MEAT & VEG;ABJHB11347;2;5;11347
8108677;SYDS MEAT & VEG;ABJHB11347D;1;5;11347D
8108583;LA MONTAGNE MOTORS BP;ABPTA12934D;1;4;12934D
8108852;ARCADIA LAUNDRETTE;ABPTA90250D;1;4;90250D
8109418;KEMPSTAR MALL - 3;ABKEM11050;2;4;11050
8108636;BOXER NQELENI;ABMTH91267D;1;4;91267D
8108631;BOXER WILLOWVALE;ABMTH90886D;1;4;90886D
8108905;BUTTERWORTH MALL 1;ABESL11870D;1;4;11870D
8108907;CHECKERS MTHATHA;ABMTH11950D;1;4;11950D
8108908;CALTEX NTLAZA;ABMTH90596D;1;4;90596D
8108904;CIRCUS TRIANGLE ;ABMTH91268D;1;4;91268D
8108880;HILLCREST SHOPPING CENTRE MTHATHA;ABMTH11779D;1;4;11779D
8108863;IDUTYWA BRANCH 1 ;ABMTH13877D;1;4;13877D
8108579;PEP MTHATA MADEIRA;ABMTH11716D;1;4;11716D
8108632;SASOL BUTTERWORTH;ABESL91464D;1;4;91464D
8108645;SASOL ECDC ;ABMTH8126D;1;4;8126D
8108883;SAVOY SHOP CENTRE 1;ABMTH11180D;1;4;11180D
8108614;SPAR BUTTERWORTH 1;ABESL13868D;1;4;13868D
